CUSTOM_ID,SR_ID
ID-003345,AA00000029203
ID-003345,AA00000029202
ID-003345,AA00000029201
ID-003345,AA00000029200
ID-003345,AA00000029199
ID-003345,AA00000029198
ID-003345,AA00000029197
ID-003345,AA00000029196
ID-003906,AA00000029195
ID-003906,AA00000029194
ID-002427,AA00000029193
ID-002427,AA00000029192
ID-000561,AA00000029191
ID-003285,AA00000029190
ID-003285,AA00000029189
ID-003285,AA00000029188
ID-003285,AA00000029187
ID-003285,AA00000029186
ID-003285,AA00000029185
ID-003285,AA00000029184
ID-003285,AA00000029183
ID-004692,AA00000029182
ID-004692,AA00000029181
ID-003403,AA00000029180
ID-003403,AA00000029179
ID-003403,AA00000029178
ID-003403,AA00000029177
ID-002590,AA00000029176
ID-002590,AA00000029175
ID-002590,AA00000029174
ID-002590,AA00000029173
ID-002824,AA00000029172
ID-002824,AA00000029171
ID-002824,AA00000029170
ID-002824,AA00000029169
ID-005798,AA00000029168
ID-000948,AA00000029167
ID-005546,AA00000029166
ID-000611,AA00000029165
ID-003047,AA00000029164
ID-003047,AA00000029163
ID-001261,AA00000029162
ID-001261,AA00000029161
ID-001261,AA00000029160
ID-001261,AA00000029159
ID-005370,AA00000029158
ID-005882,AA00000029157
ID-005951,AA00000029156
ID-000977,AA00000029155
ID-000977,AA00000029154
ID-000977,AA00000029153
ID-000977,AA00000029152
ID-000977,AA00000029151
ID-000977,AA00000029150
ID-000977,AA00000029149
ID-000977,AA00000029148
ID-001154,AA00000029147
ID-001154,AA00000029146
ID-000171,AA00000029145
ID-000171,AA00000029144
ID-000171,AA00000029143
ID-000171,AA00000029142
ID-000171,AA00000029141
ID-000171,AA00000029140
ID-000171,AA00000029139
ID-000171,AA00000029138
ID-001804,AA00000029137
ID-001804,AA00000029136
ID-001804,AA00000029135
ID-001804,AA00000029134
ID-001804,AA00000029133
ID-001010,AA00000029132
ID-001010,AA00000029131
ID-001010,AA00000029130
ID-001010,AA00000029129
